TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
3424000	362.24	240	959	10045.78	8.683482421875	7.206548129132282	55.73821	1.0017273
3456000	400.09	240	1413	10146.93	8.826056640625	7.306736510748147	57.85753	1.2276404
3488000	426.65	240	1396	10249.48	8.593208984375	7.5288683993678625	57.47024	1.1428832
3520000	428.91	240	951	10352.4	8.899291015625	7.681043528551313	49.463863	1.2153627
3552000	432.16	240	1417	10454.09	9.154029296875	7.572965898510305	47.390892	1.1772645
3584000	470.74	240	1376	10556.3	8.8221298828125	7.4335146885574925	48.508076	0.890323
3616000	503.13	240	1077	10658.22	8.90791796875	7.897892321689376	46.334854	0.94051427
3648000	435.66	240	959	10746.87	9.05156640625	7.757244094232178	50.427635	1.2542727
3680000	475.48	240	1392	10828.98	9.117955078125	7.732372089145736	44.360786	0.8550152
3712000	486.58	240	959	10909.63	8.70791015625	7.896419778133632	62.99931	1.2840703
3744000	424.68	240	1375	10987.55	9.1991865234375	8.377626920106911	75.66191	1.0933857
3776000	422.09	240	961	11065.51	8.9145703125	7.555422824865595	54.097878	1.1682478
3808000	438.82	240	958	11145.96	8.633396484375	7.587148107573095	44.8227	0.80880857
3840000	483.98	240	1413	11225.72	8.68115625	7.837957522530981	60.858215	0.8015412
3872000	432.47	240	1393	11305.04	9.0886689453125	8.193019608941505	64.25416	1.060483
3904000	445.02	240	957	11384.15	9.003646484375	8.643765365134572	64.17053	1.0741394
3936000	453.84	240	958	11460.63	8.810310546875	8.00946388460239	50.811752	1.0700996
3968000	385.68	240	991	11532.36	9.1144970703125	8.152720021563356	50.7979	0.5816868
4000000	462.59	240	1415	11605.38	9.056384765625	8.077184785709685	50.35839	0.68806
4032000	404.17	240	1397	11675.8	9.1345	8.126388823610398	57.590977	1.0809507
4064000	448.31	240	1411	11745.6	9.802091796875	9.572558435444519	62.256504	0.86493057
4096000	421.23	240	1403	11816.34	9.8605078125	8.98407966905904	55.400238	1.1726038
4128000	390.3	240	962	11886.46	9.0577763671875	8.50865460134562	65.59888	0.8334842
4160000	438.92	240	1389	11955.7	9.284755859375	8.674020117569476	76.700775	1.0136243
4192000	420.66	240	1422	12022.29	9.7870546875	8.908502785260833	57.160828	1.1475409
4224000	457.6	240	1401	12080.96	10.07065625	9.899785745787632	74.14781	0.9338572
4256000	451.06	240	1400	12137.3	9.9375654296875	9.56964357356114	68.59326	1.0005604
4288000	465.37	240	1426	12196.78	9.8406396484375	9.308620416715895	75.62098	1.0029006
4320000	434.91	240	1397	12256.45	9.700697265625	9.401659594188677	60.746166	0.8243712
