TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
14112000	649.85	217	1314	11183.1
14144000	667.22	218	1322	11209.31
14176000	657.28	223	1519	11234.95
14208000	651.75	218	1817	11259.18
14240000	643.75	223	1315	11283.91
14272000	629.13	223	1657	11307.56
14304000	670.51	215	2255	11331.82
14336000	655.37	218	1835	11356.03
14368000	657.84	215	1395	11381.45
14400000	646.79	217	1266	11405.95
14432000	675.38	215	1885	11430.48
14464000	673.52	222	1455	11455.29
14496000	671.53	218	1380	11480.17
14528000	698.83	217	1352	11505.76
14560000	652.95	217	1326	11530.16
14592000	627.57	217	1300	11554.74
14624000	587.64	215	1513	11580.03
14656000	663.14	215	2293	11604.61
14688000	689.26	217	1844	11629.21
14720000	685.57	217	1854	11654.04
14752000	682.87	215	1366	11679.31
14784000	656.38	215	1865	11703.45
14816000	654.99	222	1652	11727.12
14848000	602.16	218	1294	11751.17
14880000	614.48	215	1374	11776.32
14912000	724.2	223	1614	11801.71
14944000	608.73	217	1801	11826.63
14976000	666.63	217	1291	11851.22
15008000	629.48	217	1527	11876.31
15040000	663.89	215	2991	11901.08
15072000	652.77	218	1610	11925.3
15104000	642.45	215	1393	11950.03
15136000	631.19	215	1787	11974.67
15168000	704.29	218	1397	11999.36
15200000	671.89	222	1830	12024.11
15232000	681.77	218	1830	12049.56
15264000	654.97	215	1570	12074.15
15296000	696.68	215	1398	12098.33
15328000	652.72	218	1330	12122.16
15360000	656.67	215	1844	12145.82
15392000	664.59	218	1800	12170.96
15424000	635.71	215	1346	12196.32
15456000	640.6	217	2980	12220.81
15488000	648.18	223	1365	12246.71
15520000	646.64	217	1683	12273.22
15552000	686.72	215	1504	12297.41
15584000	649.19	222	1372	12321.94
15616000	719.84	222	1639	12346.43
15648000	633.35	217	1325	12370.54
15680000	607.76	217	1346	12395.47
15712000	679.82	222	1373	12421.09
15744000	627.02	222	1386	12446.17
15776000	677.07	217	1363	12471.05
15808000	683.81	217	1636	12495.94
15840000	664.99	223	1624	12520.82
15872000	705.77	215	1797	12545.26
15904000	630.97	217	1305	12569.16
15936000	626.95	223	1309	12594.59
15968000	660.34	215	1297	12619.09
16000000	615.73	215	1380	12643.81
16032000	679.95	215	1833	12668.37
16064000	659.84	218	1512	12692.88
16096000	647.89	218	1520	12717.28
16128000	665.25	215	1781	12742.87
16160000	660.05	215	1297	12767.53
