TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16560000	859.24	217	1847	62518.27	78.1777421875	2.6954490001667626	87.76999	67.08766	16.973056640625	16.268074563389487	119.73899	2.446968
16576000	966.14	217	2332	62589.76	79.581046875	2.594703890861152	85.9633	69.594925	18.0678203125	17.090088501818826	143.07857	2.2070358
16592000	846.57	223	2556	62658.61	78.618015625	2.488956859810953	85.71132	70.514465	18.1289453125	18.70481054434928	173.33838	2.7839093
16608000	883.13	218	2599	62727.61	80.0199296875	2.665134956421063	88.20144	69.4362	17.2874765625	16.663421767452206	145.65544	1.9607446
16624000	903.13	218	2972	62796.29	78.6417578125	2.7897561287346426	86.17254	68.75599	17.0535859375	15.369206733758253	139.07764	1.9073664
16640000	852.38	215	1895	62865.31	76.80003125	2.5935310525059267	84.91706	68.13017	17.906720703125	17.575282714653554	164.46323	2.2119174
16656000	893.77	223	1890	62934.46	74.4983671875	2.492411921713584	82.260864	65.598175	17.60341015625	16.56775482677119	166.08398	2.1428719
16672000	951.03	217	2593	63003.67	78.222953125	3.2170005864838602	87.20212	67.80514	17.644986328125	17.577861609137784	127.94115	1.9928505
16688000	979.36	215	2601	63073.07	81.3558125	2.7670817138164714	89.94393	70.139984	19.3165859375	20.36180247424083	191.42656	2.5108688
16704000	900.49	217	2317	63142.88	79.426234375	2.6704578661427614	87.43524	70.74254	17.606048828125	16.94597297295142	126.413124	1.5996941
16720000	855.24	215	2602	63211.84	77.461546875	2.5158400529197	83.96358	69.2147	16.6118984375	15.843618096097874	137.02692	2.3151023
16736000	874.26	223	1841	63281.77	76.401640625	2.6333422130322335	85.23327	67.72017	16.451904296875	15.064840067189563	145.33067	1.6711344
16752000	1024.09	218	3013	63354.68	74.3029375	2.4155833599257135	80.97999	65.51915	16.60600390625	15.938587217818272	146.01366	2.0314403
16768000	1072.72	218	3017	63424.3	75.7035	2.5007813232193055	82.7441	66.27645	16.6539921875	14.975401705797411	110.04516	2.4139447
16784000	960.09	223	2953	63494.31	75.022484375	2.51275165872744	82.26621	66.28905	17.35776953125	15.889148222922461	112.93414	1.6590424
16800000	927.42	217	2595	63563.96	78.1221328125	2.5041081480614014	84.55646	69.44357	17.466203125	15.532618903456042	144.73615	2.0104175
16816000	892.08	217	2326	63633.73	78.653953125	2.6379716699104256	86.6644	68.312256	17.82964453125	17.919460441095875	177.75188	2.2250383
16832000	868.88	223	2327	63702.79	80.7159375	2.5362304397964315	88.49858	71.91358	17.22850390625	16.87702487851458	126.78411	2.3983254
16848000	938.0	223	2327	63771.65	82.884890625	2.6151581684658676	89.488075	73.84631	18.630568359375	18.15921253799294	146.67632	2.1758156
16864000	963.53	223	3006	63841.05	79.9589375	2.5816469314966852	89.7119	70.80133	17.13629296875	16.192698972067628	137.77417	1.9347351
16880000	968.68	223	3011	63913.22	81.8785625	2.9836766198559452	90.18715	72.552605	17.815689453125	16.467682365773275	144.29729	1.4938517
16896000	891.68	215	2608	63982.66	80.52825	2.943922997835966	88.76152	69.91	17.25701171875	17.502642657610306	126.88833	2.3758788
16912000	963.49	217	2317	64052.63	78.1475625	2.477646549020865	85.76557	69.78583	16.7278515625	15.482245880362449	141.79095	2.2069123
16928000	973.2	215	2288	64124.6	75.345421875	2.5074821628228983	82.7427	66.50733	14.949978515625	14.881371009587793	217.69728	1.9858283
16944000	1025.78	217	3012	64194.15	74.757	2.3968334416214656	81.68615	65.92235	14.081392578125	12.494321210053789	100.179214	2.399199
16960000	990.54	217	3012	64263.36	73.52421875	2.678930195467493	81.989746	64.91953	16.108982421875	14.00504652348574	119.82277	2.4607577
16976000	916.67	215	2996	64333.18	73.782765625	2.572153501020594	81.1329	65.27936	16.34241015625	14.878285351477837	154.26917	2.530443
16992000	896.18	226	2331	64402.4	71.1034609375	2.6573848678611647	79.08237	62.043877	17.071310546875	15.340759637319138	110.902725	2.0972106
17008000	878.34	223	2284	64473.21	71.6760625	2.82275206123718	80.27376	63.173702	15.693611328125	13.286188787609484	97.30785	2.6124258
17024000	808.29	218	2314	64542.17	71.289734375	3.0231580135679312	81.85513	60.081676	16.2966787109375	16.294015389093016	155.49634	1.8746648
17040000	859.28	217	2309	64614.83	72.1462421875	2.966243678880749	83.69638	62.553833	16.419814453125	15.492763935947647	159.65385	2.0856843
17056000	810.65	218	1889	64685.39	71.7962734375	2.4491416704378293	79.14642	63.293083	16.8365859375	15.570808023349334	128.07599	2.0092278
17072000	926.66	218	2602	64756.48	71.71665625	2.4284620100744836	77.90003	63.772938	16.60501953125	16.463415881887936	135.02554	2.2369637
17088000	876.47	226	1846	64827.54	72.569296875	2.260113554945857	81.37314	65.63255	15.9982109375	15.095777555329834	100.42309	1.9647887
17104000	840.88	226	2328	64899.96	77.7702265625	3.3547059122689875	87.046906	67.928116	18.17444921875	17.649337806274772	175.85074	2.1130247
17120000	886.87	218	2829	64969.98	80.21353125	3.496436243698718	90.88263	68.61418	21.58430078125	21.308309705370814	201.02199	2.6009521
17136000	974.73	218	2334	65039.22	79.8026875	2.855412555021603	88.90179	71.18643	19.746642578125	19.969133994742986	148.69385	2.4289193
17152000	844.32	223	2287	65107.77	80.3933125	2.7654780151618907	88.26683	72.088	17.96361328125	16.489532664693684	113.066444	2.3632867
17168000	984.6	223	2314	65176.74	75.935421875	3.009446715137186	86.943924	65.03601	16.813150390625	14.329597865955625	117.33627	2.0852442
17184000	881.53	223	2329	65249.93	76.2783203125	2.8899144396936736	84.84459	66.164536	18.8311328125	15.871310594906774	117.777466	2.4432611
17200000	865.53	218	2328	65319.61	78.59378125	3.171422997350716	88.36917	67.54578	18.00446875	15.579607063401824	136.60646	2.6849904
17216000	873.78	218	2988	65388.9	80.22909375	2.8715546611330596	89.10124	69.279236	20.146630859375	18.638270440145458	183.47487	2.4336393
17232000	938.08	223	2318	65458.05	80.323171875	2.760032215759673	88.98251	70.944305	19.4973359375	18.640248791258124	151.00768	2.5687237
17248000	939.45	215	2987	65528.21	80.872984375	2.662466255654708	87.41376	71.7237	20.657880859375	20.42059622048289	168.02489	2.499268
17264000	887.64	223	2321	65599.25	77.81809375	2.8453723051100885	86.68518	68.04257	18.8036875	16.34714806931166	137.15862	2.8696995
17280000	929.7	217	2321	65668.87	78.6713671875	2.7204102330232294	88.273636	67.89844	18.71651171875	17.479017778467988	153.50272	2.9534585
17296000	952.49	217	2320	65738.54	81.161703125	2.8686754483777004	89.36259	70.80915	18.69	17.708380784250153	142.71335	2.188483
17312000	941.15	215	2593	65808.99	80.6995	2.665629213068183	87.23093	71.91348	17.6712421875	16.648479660317335	165.42133	2.7718728
17328000	854.29	218	2593	65882.24	84.01515625	2.937512466728865	92.56092	71.71916	18.60391796875	18.210203183929607	138.92693	2.3413002
17344000	893.34	223	1892	65952.46	81.572359375	3.515954429009995	91.37876	68.4314	18.61691015625	18.117346660038272	152.60385	2.6260395
17360000	916.42	223	2307	66024.93	81.83915625	2.9364629153328328	91.840866	72.49136	19.29340625	18.05590277443917	162.0969	2.9136853
17376000	959.51	223	2336	66093.83	80.7065859375	3.0550059776434972	89.46806	67.92059	18.54095703125	17.075116214831453	137.36783	2.411127
17392000	969.18	223	2324	66165.54	77.1642890625	3.204671273118352	86.42556	66.461174	17.57507421875	15.199347231049103	120.88904	2.4252996
17408000	921.83	223	2572	66236.07	75.335359375	2.8459717454291864	82.75064	63.636803	17.51663671875	15.253464770339885	136.88698	2.1117485
17424000	890.54	223	3000	66306.2	76.977125	2.896589623214255	84.61511	66.81482	17.812208984375	16.254982889871034	134.76926	2.0857956
17440000	900.52	215	1889	66375.03	75.617171875	2.6864744591250536	83.67519	66.16671	17.7936015625	16.36622379322732	135.54506	2.2014773
17456000	885.42	217	2332	66444.33	77.58209375	2.782625713130496	86.15549	69.5058	19.2552421875	17.374883093131878	129.86465	2.4650097
17472000	871.06	215	2917	66514.44	78.2696796875	3.086308917521867	87.50585	68.60362	18.08008203125	15.007177449473968	107.34681	3.0276637
17488000	948.72	215	2917	66586.05	80.93490625	2.786532027841686	88.72283	72.12889	20.891173828125	18.135402187434387	120.8601	3.1463428
17504000	892.76	217	2315	66656.61	81.80528125	2.8686677888546974	89.19137	73.84445	19.45280078125	17.11368513061988	139.91937	2.7387059
17520000	850.99	217	1893	66728.13	80.613265625	3.1517836591960116	90.08643	70.817825	19.3538515625	17.677738472440414	121.596596	2.7938926
17536000	936.94	217	2597	66802.36	80.52075	3.0855924648882262	89.598816	71.05594	17.69456640625	15.650163737162625	123.367386	2.5622816
17552000	886.55	215	2229	66876.39	79.48928125	2.890258760582692	87.53213	69.98291	17.86894140625	16.137514523618563	125.29558	2.680666
17568000	836.65	217	2328	66947.95	82.235234375	3.033174968679684	90.33484	73.043755	19.99120703125	19.234375964662853	172.49666	2.6526966
17584000	893.83	223	2328	67020.28	81.07553125	2.9197843456323964	90.84717	69.62256	18.5421640625	17.869519264658464	149.49426	2.5101542
17600000	856.72	223	2328	67090.84	80.969125	2.589558360029756	88.51401	70.743256	19.697900390625	18.37728897307761	129.84924	3.135851
17616000	832.41	217	1889	67161.35	82.6141875	2.7986312572510332	90.17253	73.534836	19.6234140625	18.856978151336975	237.32262	2.6885486
17632000	900.67	218	2596	67230.5	81.851921875	2.9060734153342547	90.45725	71.54073	19.56808203125	17.38885418881877	137.12036	2.0424366
17648000	818.13	223	2329	67299.37	80.291890625	2.859416580981818	88.75659	70.34358	18.598607421875	18.559564582715836	127.58184	2.7750773
17664000	817.27	226	3005	67370.12	79.03390625	3.0359779494217345	87.64572	69.499985	17.032447265625	15.666009183898751	168.87555	2.6323748
17680000	851.62	223	2301	67441.49	78.666515625	2.6828091329332393	87.19168	69.4099	17.57094140625	15.845013509776507	140.3213	2.2677279
17696000	891.76	223	2985	67513.56	79.3988125	2.9414677325911636	86.644	69.9138	18.5525078125	16.42842049620109	123.71714	2.3185296
17712000	913.19	217	2997	67583.18	77.746640625	3.004204735658008	86.87426	68.65758	16.515021484375	14.457771482839256	111.32213	2.1117187
17728000	947.58	223	3025	67653.4	77.264609375	3.120961452922	87.92197	67.28973	18.67390625	18.460190275292398	168.12889	2.2351058
17744000	834.96	223	2597	67724.36	76.6535625	3.0716468951423272	85.90227	67.20403	17.369912109375	16.657711239843245	141.34921	2.476356
17760000	939.45	223	2335	67793.62	80.4321875	3.1702400342876245	90.598175	70.51883	17.72450390625	16.52398540758252	138.64458	2.4774675
17776000	915.17	215	3006	67864.06	81.81890625	3.040410770973225	91.019585	73.15422	19.2492890625	16.75589168770197	157.16742	2.305523
17792000	944.96	218	2998	67937.68	85.877265625	3.1258208296981773	96.052956	74.13636	19.932529296875	18.007966986864453	146.34097	2.9218743
17808000	827.17	223	2978	68007.54	83.435640625	3.3732546123421367	92.91943	73.903275	20.12105859375	18.66319489664082	154.8541	3.1827002
17824000	917.8	222	3009	68079.67	79.76321875	2.900567192647414	89.21111	70.92721	18.218060546875	15.324766515350241	121.91912	2.8735924
17840000	924.3	222	3009	68149.17	76.887984375	3.665060698252486	87.76485	64.46153	18.3160390625	16.336066310467768	152.5596	1.9924275
17856000	890.17	218	2600	68220.14	71.8770390625	3.0940328153560364	82.32073	62.516514	18.076259765625	15.854042268456332	150.90216	1.892086
17872000	852.32	223	1891	68292.13	74.1615234375	3.124725925481305	84.5681	63.19594	18.52618359375	16.273981342928966	140.29167	2.7818422
17888000	886.34	217	2892	68362.83	77.1794453125	3.121910816861606	86.38881	64.2742	20.01630078125	18.26599641410235	152.25769	3.3361044
17904000	923.6	223	2892	68433.51	76.47078125	3.1571041542250393	86.23241	66.600624	19.1580625	16.123679209473252	157.57297	2.099832
17920000	894.91	217	2320	68502.42	78.47821875	2.986503658387597	88.17894	69.56027	18.59533203125	15.98995436594489	129.87712	2.462015
17936000	898.09	218	2992	68572.6	77.35834375	2.7459519211240755	85.204666	65.98314	19.09749609375	17.668208560858684	166.2198	2.4337113
17952000	894.23	223	2983	68641.56	76.526453125	2.7005726750890267	83.98093	64.486984	17.801109375	15.051702561504463	108.534096	2.607232
17968000	920.06	217	2999	68710.88	75.96778125	3.379191263268476	88.33203	65.76494	17.9561796875	16.621870946136	138.76578	2.8362417
17984000	905.35	222	3012	68782.65	79.616375	2.9328870029162393	88.40029	70.55601	18.55559765625	16.55931761879094	145.15086	2.783671
18000000	938.75	217	2325	68855.0	80.99878125	2.857600371432734	89.99971	71.126144	18.8291796875	16.049989291273686	101.87676	2.0127354
18016000	921.38	222	2325	68924.84	78.7111328125	3.1283091853867324	89.21413	68.25444	17.87996875	15.7297965657538	132.1385	2.890971
18032000	897.54	223	2930	68995.81	78.148453125	3.048572123501017	88.88464	67.93031	17.80932421875	15.592293769679944	122.94792	1.9192433
18048000	867.03	218	1894	69064.7	76.3808203125	3.1498084019111388	85.6647	65.35487	17.68190625	16.653537537112047	152.29414	2.6126986
18064000	897.33	223	2969	69133.28	74.6833671875	3.103295249609679	84.60545	65.63054	18.634703125	16.31979051642514	129.50151	2.6622095
18080000	1026.62	217	2996	69202.25	70.5316015625	3.1563941798751944	79.32297	60.776703	16.47136328125	13.728454141854428	105.75322	1.8036647
18096000	958.71	217	2996	69271.7	69.3037734375	2.6472185616758677	77.52126	60.17152	15.9740927734375	13.370182543630435	105.45033	2.3177972
18112000	969.83	218	2955	69341.38	69.304171875	3.0391398608405633	78.94368	58.096443	16.1690009765625	14.056422019845591	108.42822	2.4796169
18128000	829.59	218	2994	69410.98	74.824421875	3.276293727054627	85.398575	66.40787	18.07894921875	16.770244296073926	139.79025	2.6307054
18144000	900.27	223	2308	69480.09	77.327546875	2.8414690371465428	85.89293	68.83742	19.03873828125	17.317502887252537	162.6903	2.5794783
18160000	841.68	223	2964	69549.73	80.600484375	2.7079932679130687	87.93939	72.06708	21.275171875	18.992807026608784	163.23395	2.510332
18176000	808.73	223	1887	69618.57	79.829109375	2.8378355390816785	89.56578	71.44148	20.1609140625	18.07038668651006	144.20221	1.8902364
18192000	867.34	223	2320	69689.6	80.06765625	2.701802602835281	89.101	70.827866	20.51337890625	18.631974365321568	232.98584	2.726417
18208000	864.12	223	2999	69759.91	77.122703125	3.015222933041187	86.40283	67.56729	18.611244140625	16.412251521348313	154.02182	2.726904
18224000	959.87	217	2593	69829.02	75.55159375	2.768346648102889	84.26982	66.86908	17.619431640625	17.61421123695296	183.4418	1.9448416
18240000	969.2	223	2993	69901.4	76.87625	2.955854889029568	85.10686	68.14338	17.657546875	15.082593962080926	133.52563	2.609462
18256000	951.42	217	3006	69972.74	77.825671875	2.941776474874493	87.74479	67.75529	18.89416015625	17.540545886602274	168.09007	2.7366126
18272000	928.91	217	3006	70044.58	78.7724609375	2.96289966317837	86.72792	69.14885	18.16676171875	15.692435976450565	138.82104	2.1354165
18288000	925.49	217	2324	70115.11	79.2077265625	3.315516020829186	88.92244	67.144806	18.391697265625	17.82286978856099	165.78026	2.5408854
18304000	1017.99	215	2983	70185.0	80.5370234375	2.885178314463423	90.24956	71.6869	16.90942578125	15.463427619709675	123.71658	2.0997849
18320000	869.88	215	2996	70254.62	80.7058828125	3.0201921374103002	90.450226	68.893585	18.847732421875	17.72377111395879	200.17896	2.0947306
18336000	897.81	215	2996	70324.51	79.766859375	2.8509245861814287	88.25363	71.54327	18.062421875	16.90861004784249	147.01978	2.9049397
18352000	935.03	215	2997	70392.95	79.2380078125	2.8328675704796016	87.10181	69.85806	17.012724609375	16.69165584955549	148.39912	2.6074939
18368000	979.71	215	2532	70463.0	77.99553125	2.816182571734963	85.42538	67.797935	16.551455078125	15.646590583095092	143.47842	2.170245
18384000	864.54	215	2979	70535.85	78.4971796875	2.7753993941187995	86.58476	69.98222	16.8958359375	16.012505854799866	128.46518	2.5964055
18400000	902.48	215	2977	70605.03	80.443375	2.987565212415873	90.11368	72.34966	16.3860390625	14.51522476574166	123.93863	2.8417263
18416000	918.05	215	3021	70673.38	79.0990390625	2.839637221685413	86.92038	68.81304	17.753685546875	17.42584825768892	175.03897	2.6261632
18432000	909.63	223	2970	70743.58	76.43821875	3.0055927685940755	85.8167	67.96881	16.819396484375	14.931782378537399	111.82608	1.6382434
18448000	946.29	215	3012	70813.62	76.42834375	3.2938042571432504	85.698105	65.62155	16.8525	15.232728949534946	116.68423	2.380771
18464000	897.49	223	1891	70885.92	77.5316875	3.1331581012614094	87.07024	63.648514	17.78909765625	17.008042215375642	228.89119	2.0669022
18480000	863.88	223	3001	70959.94	76.30478125	3.076201016727044	84.84615	64.00655	17.10706640625	16.022492003430678	138.42993	2.620168
18496000	879.21	223	3008	71034.53	77.1093125	3.0550385827657727	86.49946	67.11065	17.720751953125	15.777472072546983	123.53661	2.5625067
18512000	974.53	217	3008	71107.24	75.291140625	2.7458582091374457	82.59425	63.816174	17.91034375	15.652963976512563	112.16744	2.3943307
18528000	963.9	217	3005	71177.17	76.6170625	2.7453944033030115	83.10742	65.47571	16.74826953125	14.774074632612358	111.94837	2.0838635
18544000	909.71	223	3007	71247.73	77.4805390625	3.1519765314303183	86.62135	66.00197	17.9078671875	16.73887223650387	128.95444	2.7779913
18560000	988.25	223	3007	71318.5	81.4610390625	2.6667664979685606	90.18039	73.040634	18.188625	17.660734165090645	161.87103	2.6951654
18576000	907.99	226	3004	71388.2	82.384875	2.773047419750968	90.05112	73.61011	17.645197265625	16.46336083550379	142.34013	2.449131
18592000	958.1	223	3004	71457.69	83.310375	3.4072071476320605	92.24286	71.711136	19.26831640625	18.72991757856932	168.16896	2.3278875
18608000	889.21	215	2916	71529.06	80.7493671875	2.8924072208542837	90.18592	70.82477	17.772802734375	17.45738561469042	168.53554	2.4957793
18624000	812.87	215	2998	71598.55	77.124546875	2.9357739277211894	87.58293	68.21417	17.26422265625	17.97378299078967	167.17339	2.6829634
18640000	903.5	215	2590	71668.84	76.53025	2.848731728495595	83.8419	66.0264	18.1367265625	17.35229631777881	168.57942	2.3748631
18656000	956.23	223	2583	71738.45	78.481546875	3.2254817348537257	88.03258	67.35086	18.08958203125	16.439631991014885	138.27515	2.340971
18672000	928.11	223	2329	71807.09	76.2457421875	3.109167549612356	86.574356	64.98236	17.42387890625	15.857992858492526	116.06841	2.6363049
18688000	917.03	223	2326	71876.67	77.28975	3.058975969891722	85.95427	67.12732	17.67563671875	15.779358550017172	132.4647	2.3064437
18704000	813.36	223	1887	71947.48	78.571125	3.016863411517001	87.11398	65.0202	19.742861328125	18.128116973364882	167.13777	2.1475947
18720000	841.23	223	2595	72016.18	78.45496875	2.6598594961129995	86.17265	68.2988	19.22399609375	17.59755753648784	173.5745	2.3160515
18736000	940.69	223	2597	72087.04	77.489171875	3.05718128704776	85.840866	67.255684	18.438439453125	16.253445788508973	122.580215	2.6543179
18752000	1005.17	223	3007	72159.44	77.4117109375	2.8778691525806033	85.34889	67.542175	17.9173671875	15.841284078318903	115.38128	2.4272122
18768000	1018.57	223	3002	72228.13	75.832828125	2.8114867966633774	85.47433	64.61505	18.2738515625	16.423833672440793	117.661766	2.5495405
18784000	870.02	217	2606	72296.61	78.87728125	2.758170568114398	86.97948	67.887665	18.01096484375	15.349001392598803	111.04353	2.685845
18800000	892.95	215	2591	72364.72	78.17209375	2.7050811202600746	88.72485	69.71895	18.57667578125	17.28376315360749	233.20192	2.0803804
18816000	936.87	217	2591	72434.71	77.32596875	3.1141273356271095	87.004456	68.42363	17.782703125	16.54840910027305	153.66937	2.2559595
18832000	964.68	217	3008	72503.33	76.2679609375	2.7125046802955013	85.5987	68.210846	16.543056640625	15.181176667175704	170.64928	2.729103
18848000	985.54	217	3018	72571.82	81.608484375	2.8528120549895593	89.75424	72.031006	19.81812109375	19.911921680239704	202.16386	2.754616
18864000	881.03	223	2996	72640.76	82.884515625	2.8558806346237144	90.50785	75.01934	21.012234375	20.919245027008024	161.233	2.8955195
18880000	923.57	222	2996	72710.49	83.9958828125	2.9921515174076663	93.22305	73.48352	20.357853515625	18.691691837551783	158.77591	2.5965025
18896000	922.96	222	3007	72779.82	81.754328125	3.0128638589907277	89.852974	72.62588	18.932296875	18.28225745087296	157.18289	1.5176724
18912000	948.45	217	3007	72848.82	82.7478203125	2.8637981499662297	92.69921	72.74925	18.344896484375	16.478646220184473	122.24515	2.9072263
18928000	969.54	217	2988	72917.16	83.1985859375	2.800580645709921	92.451454	74.3096	19.91499609375	19.47997128462976	139.46344	2.2973406
18944000	927.42	217	2329	72985.78	79.42975	3.0498884136862285	87.8131	68.92499	18.1582890625	17.771938027407142	117.40291	2.8100047
