TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
3456000	570.77	105	1087	5336.85	35.984043	3.5850313	45.77545	23.448303	5.565103	5.8790174	55.99717	0.5889629
3488000	629.65	105	1073	5386.26	32.250538	3.8517716	43.587803	19.571074	5.1458898	6.00234	87.46432	0.640877
3520000	601.44	111	869	5435.73	32.270405	3.9264274	44.721947	20.939974	5.3898163	5.8337116	39.44259	0.4584146
3552000	549.96	105	1220	5485.03	36.432774	3.6253352	46.55001	24.35347	5.910573	5.9729285	46.462513	0.83034706
3584000	620.94	105	1220	5534.24	39.25809	3.5648696	48.68181	24.541477	6.419319	6.767755	56.989193	0.51784086
3616000	523.69	105	1811	5583.86	40.91486	3.0294063	49.558445	30.408688	6.079631	6.3996987	58.31223	0.62687635
3648000	625.41	105	1216	5633.55	40.951077	3.119603	49.377014	32.094704	6.237459	6.322322	48.48566	0.7767727
3680000	531.69	111	1211	5683.22	40.82697	3.1638718	50.77886	30.65112	6.3613486	6.2514877	56.11216	0.82304645
3712000	595.75	105	1214	5732.82	40.005013	3.131107	50.796127	30.9293	5.982572	5.8908353	44.398304	0.7912969
3744000	560.9	111	1078	5782.25	38.972557	3.2584796	49.7712	28.521702	5.688666	5.4637055	36.171715	0.7028652
3776000	636.48	120	1214	5831.83	39.12043	3.3684745	49.613766	26.463474	5.422151	5.6876497	52.178448	0.5269679
3808000	539.05	105	1221	5881.26	40.745335	3.04997	49.908363	30.145546	5.8616834	5.582348	46.04651	0.5477955
3840000	637.42	105	1190	5931.03	43.53089	2.712821	50.400352	34.10762	6.471174	6.430919	58.51876	0.7812178
3872000	666.97	111	1214	5980.57	45.34153	2.2053313	53.695095	37.28804	6.4127355	6.1957126	46.86882	0.8259512
3904000	558.57	113	1209	6029.99	45.287853	2.2467155	51.629177	36.848064	6.7552714	6.6771007	55.52949	0.7841817
3936000	596.12	105	1785	6079.46	43.3541	2.6696885	50.349762	32.187515	6.5037045	6.4997396	54.796333	0.66989267
3968000	548.94	105	1077	6128.96	40.775906	2.9916277	48.56572	31.723444	6.586342	6.805267	60.869736	0.68571126
4000000	561.57	105	1212	6178.33	40.00215	3.1249068	50.171005	28.091993	6.70503	6.8148847	53.838852	0.6114074
4032000	533.31	105	1217	6227.81	40.882175	2.9985888	49.020794	31.730236	6.1126094	6.5374737	53.433777	0.62792563
4064000	572.26	105	1009	6277.04	41.701202	3.0309389	49.801704	31.44522	6.21383	6.9256034	70.40627	0.5500283
4096000	549.41	105	1227	6326.46	40.10447	3.2490523	51.460583	30.15973	5.620656	6.2483244	56.3178	0.47764075
4128000	679.25	111	1822	6375.92	39.09408	3.2904284	47.82511	27.672709	6.1486816	6.4600487	47.79898	0.65997386
4160000	575.54	105	1212	6425.27	38.47271	3.3430755	48.390835	27.99254	5.532959	5.9968514	56.146366	0.6558138
4192000	559.21	108	1225	6474.68	39.27178	3.4401927	48.361664	25.51994	5.787342	5.949034	60.024303	0.7230978
4224000	547.18	105	1436	6524.22	39.839592	3.3725288	49.86367	26.49405	5.728853	5.9864335	57.39998	0.58795655
4256000	589.74	105	1824	6573.63	40.63398	3.2764592	49.407204	29.116077	6.662423	7.058884	62.39653	0.77591145
4288000	588.49	105	1207	6623.0	41.284798	3.0570652	49.873875	31.545826	6.382148	6.435693	54.60593	0.9071836
4320000	565.5	108	1221	6672.47	41.363495	2.7951145	50.132812	31.696228	5.8128414	6.5586286	58.236385	0.7657109
4352000	578.2	105	1216	6721.98	41.938488	2.8217404	50.675518	33.622395	5.932209	6.1354594	51.54775	0.76883173
4384000	615.95	111	1220	6771.64	41.55327	2.9725316	51.531044	31.048409	5.7489023	6.044566	49.174362	0.69107616
4416000	586.03	111	1545	6821.09	41.872665	2.8167796	48.980083	30.701508	6.0861816	6.3455076	50.701344	0.70951974
4448000	617.75	105	1439	6870.78	42.29914	2.8722408	50.401814	34.30965	5.7103457	5.458212	53.04541	0.5716231
4480000	570.7	111	1201	6920.19	42.863716	2.9922829	51.295063	30.858059	6.1286135	6.4612865	64.59687	0.9638821
4512000	591.55	105	1461	6969.46	42.476414	2.9075263	50.164017	31.621113	5.9944334	6.163639	51.123592	0.77344215
4544000	605.58	111	1210	7018.91	40.957718	3.2305136	50.32686	30.927555	5.7739196	5.772853	51.03859	0.8792704
4576000	561.86	111	1229	7068.33	40.594208	3.0535388	49.452805	30.90003	6.9953423	7.4081416	66.10358	0.83468056
4608000	516.32	105	1210	7117.98	40.668427	3.0729012	49.93217	29.400454	6.7845697	7.2709475	63.96984	0.8442775
4640000	595.76	105	1219	7167.38	41.820404	3.0077431	51.27835	31.26659	7.250063	7.176069	49.92526	0.46981007
4672000	559.52	105	1213	7216.71	43.77251	2.8939366	51.93738	35.217823	6.8929796	7.3213887	69.01216	0.70229596
4704000	563.35	105	1222	7266.06	46.02926	2.509518	54.214184	38.35039	7.3274245	7.041733	59.36971	0.6535032
4736000	581.92	105	1170	7315.79	46.978806	2.3736496	53.0541	38.966644	7.0009575	6.993567	68.491455	0.8299743
4768000	630.59	108	1219	7365.43	44.15885	2.8988342	52.51049	33.986183	6.171069	6.406079	52.526775	0.71515805
4800000	621.73	105	1224	7414.81	40.397606	3.3920588	51.131195	28.073639	5.8024807	6.312933	50.774708	0.56113654
4832000	615.85	105	1216	7464.29	37.906773	3.5939775	49.255875	25.213627	5.018806	5.8337636	58.18743	0.4816929
4864000	590.03	105	1201	7513.85	38.847965	3.571154	49.938446	26.349533	5.4204793	5.919973	40.757114	0.53686905
4896000	618.38	105	1223	7563.52	42.01043	3.2362847	51.906116	28.543682	6.3425736	6.4185967	51.499	0.55547774
4928000	620.33	120	1218	7612.93	43.5854	2.831002	51.210514	33.26741	6.3483806	7.1199565	77.374176	0.75378263
4960000	606.0	108	1215	7662.32	42.170532	3.0992332	53.29885	31.59629	5.805579	5.4950814	44.384247	0.6461765
4992000	573.77	111	1477	7711.9	40.979103	3.1253042	50.501057	30.300339	6.053392	5.688994	49.57893	0.78592616
5024000	579.29	105	1216	7761.32	41.08311	3.1075177	50.54731	28.107716	6.3994412	6.968253	68.76655	0.6497374
5056000	580.99	105	1719	7810.68	42.743885	2.9709594	51.967583	34.320965	6.871812	6.562512	44.490376	0.7159779
5088000	637.18	105	1215	7860.17	43.732124	2.6122267	51.101807	34.32695	6.5012355	6.8823743	71.096535	0.65904826
5120000	564.47	105	1211	7909.64	42.858913	2.8739495	50.699318	32.929096	6.2836046	6.342327	61.997696	0.81012845
5152000	642.59	105	1221	7959.39	41.425743	2.9655306	50.57246	28.345112	6.7619553	6.633723	53.216072	0.83261573
5184000	575.58	105	1212	8008.75	41.05354	2.8370953	51.756012	31.184235	6.540116	7.1732173	68.219864	0.80323744
5216000	608.15	105	1824	8058.22	42.0751	2.8358479	50.738884	32.429436	6.737657	6.2691274	58.14691	0.8238746
5248000	605.24	111	1097	8107.89	43.11407	2.7491057	52.18073	34.520164	7.6537285	7.362316	42.62469	0.7827306
5280000	584.27	113	1216	8157.55	43.84499	2.663849	51.193825	34.890335	6.8848248	6.475931	47.913906	0.65396166
5312000	588.63	111	1212	8207.14	44.820736	2.6883466	52.824566	35.824677	6.436691	5.9444556	45.07069	0.40892178
5344000	560.58	111	1717	8256.79	46.226723	2.5789566	53.011856	34.469814	7.157789	7.194692	54.057228	0.7863377
5376000	600.51	111	1202	8306.3	47.193275	2.4285245	54.554703	39.349308	7.343851	7.5394535	86.57744	0.88516843
5408000	604.53	105	1216	8355.72	46.262783	2.6018486	54.01062	36.51544	7.0256953	6.5443826	58.140976	0.5837543
5440000	620.53	111	1207	8405.36	45.240032	2.8804107	52.631313	34.46675	6.2035007	6.312274	46.23548	0.5316037
5472000	529.11	111	1204	8454.99	45.12208	2.8829834	53.494354	35.29537	5.9935517	5.9165387	49.391563	0.7019428
5504000	589.49	105	1215	8504.81	45.209007	2.6834564	52.816696	36.62163	6.087887	6.339999	57.671158	0.59792656
5536000	559.77	105	1203	8554.58	44.883873	2.6480548	53.0119	35.707314	6.962929	7.440056	72.06748	0.57744634
5568000	579.74	105	1705	8604.09	45.479008	2.7374356	52.501785	35.99267	7.507709	7.517239	60.74803	0.7298412
5600000	583.02	108	1689	8653.85	46.273804	2.616633	54.59249	37.418133	7.193974	6.8483505	62.417114	0.768692
5632000	619.34	120	1583	8703.63	46.108257	2.6496058	53.104904	37.142597	6.7961435	7.28809	55.973774	0.6549063
5664000	639.03	105	1222	8753.25	45.95913	2.594215	54.162643	36.044167	7.1556873	7.323479	61.18592	0.83990556
5696000	628.96	113	1807	8802.63	46.464516	2.7749405	55.21556	34.166954	7.056591	7.9556284	70.648865	0.87311625
5728000	638.29	120	1034	8851.97	46.546436	2.7700791	54.76674	35.441605	6.7120566	7.074927	54.453465	0.8983541
