TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
7488000	844.46	223	2590	32766.47	62.38409375	2.121929076998687	68.67306	55.103584	16.2779169921875	13.151393699908766	101.528305	2.4781096
7504000	818.94	223	1660	32830.94	63.25696875	2.1638182398251473	69.720276	55.16595	14.8848193359375	13.344284825347517	87.82131	2.23565
7520000	832.87	215	1890	32894.81	64.80608984375	2.2361197296460893	73.29403	58.70972	14.7271171875	13.029215368739592	107.25305	2.0939355
7536000	812.14	223	2602	32959.86	69.129046875	2.596639862248662	75.542305	58.66442	16.071564453125	14.527404060946333	141.83847	2.0524042
7552000	860.63	218	2593	33026.01	68.7869765625	2.145546919093416	74.94083	61.411407	16.6465078125	14.534532693726344	95.425316	2.4801977
7568000	827.15	217	2319	33090.2	69.163	2.294663901723954	74.996	62.34224	15.8750234375	13.511556974494093	92.28159	1.5379035
7584000	827.09	217	1880	33154.6	66.8896875	2.207518447332321	75.201515	57.588326	15.00161328125	14.646162039933875	145.83363	1.9765162
7600000	839.76	215	3001	33218.55	65.40696875	2.14218009207326	70.671616	58.268726	15.897744140625	14.817210221563302	131.55588	1.6874348
7616000	858.38	223	3011	33286.08	65.663421875	2.172422592838465	72.14293	58.194946	15.368357421875	13.331576707201592	89.60853	2.2900076
7632000	849.96	223	2330	33351.66	65.18842578125	2.1884287091070047	71.52359	57.25316	14.5562421875	13.285407878571135	130.83844	2.2568238
7648000	824.72	223	1819	33415.85	64.25884375	2.263999740330981	71.37178	57.446926	14.014896484375	12.550714621088316	89.53133	2.2364907
7664000	812.58	215	1824	33479.56	65.22994140625	2.308424195338673	73.05609	57.304012	15.1854345703125	13.577120000206229	101.81667	2.2863426
7680000	837.77	223	3002	33543.14	66.260125	2.3500087267125203	74.548035	57.48489	13.863279296875	12.3130799355807	103.96036	1.7296574
7696000	837.82	226	2324	33605.69	66.0535625	2.407804591161573	73.67656	56.244595	14.5803525390625	13.331474740252858	111.23222	1.9633079
7712000	895.75	223	2964	33671.41	64.829765625	2.2580991383794466	72.35516	57.05725	14.89215234375	12.919036341771006	130.20094	1.6766257
7728000	795.33	223	1887	33738.51	64.183609375	2.2439627118880003	70.91214	56.44393	13.901681640625	11.813974114369813	91.14029	2.1103141
7744000	836.89	215	1843	33803.87	64.151609375	2.213034782650004	71.73955	56.586952	14.131943359375	13.266675238167249	93.96965	1.6802408
7760000	852.82	215	2497	33869.4	63.73730078125	2.0444840520440604	69.34275	56.677002	14.3643720703125	12.963070141752686	112.74533	2.0089638
7776000	830.09	215	2327	33933.4	61.66721875	2.0363689105473375	68.666885	56.11499	13.78964453125	11.82546510713215	92.20603	2.001701
7792000	783.69	223	1872	33997.1	61.14828125	2.095123849635744	67.52489	53.83583	12.589904296875	11.178594220652256	106.87504	1.877162
7808000	845.13	226	2332	34061.65	60.343203125	2.278652738084777	66.069595	51.450424	13.719693359375	11.056037660482167	96.50196	1.6654831
7824000	859.7	226	2321	34124.86	60.11138671875	2.1421910330021925	66.11339	53.872696	12.915587890625	11.165327539418627	85.93534	1.6869521
7840000	872.8	222	2271	34188.69	59.75799609375	2.0327864381496155	67.90257	53.592148	12.8572109375	10.658843892514797	97.97601	1.4998965
7856000	842.27	217	1878	34250.67	59.97063671875	2.194799873422404	65.694	51.957596	12.87661328125	10.849467512855181	108.328926	1.8202823
7872000	793.6	217	2298	34311.87	60.219984375	2.281618227986718	67.881386	53.014587	13.113328125	11.176406161530638	74.303604	2.0066714
7888000	857.86	223	2298	34374.77	61.468546875	2.360095916350647	68.11655	53.385654	14.8955244140625	11.990771190795027	93.98131	2.1738877
7904000	844.59	215	2330	34436.49	62.22356640625	2.2123947273684004	68.504395	54.36921	13.224447265625	10.272887556573371	69.59737	2.105218
7920000	822.21	218	1892	34500.91	63.1989375	2.1202497457552023	68.92612	54.55985	14.554400390625	11.661501163014991	85.674866	1.472904
7936000	849.26	218	2324	34564.39	63.02194921875	2.320922057980136	70.36809	53.469322	13.79546875	10.908832430649946	79.66964	2.0268986
7952000	881.31	215	2324	34630.79	62.561328125	2.176465696878198	68.69954	57.026356	12.758310546875	10.558988321567554	79.74879	2.153842
7968000	865.73	223	1890	34695.91	62.7613515625	2.253283519909057	69.45102	55.065872	13.98850390625	12.05039094282837	88.122345	2.0281408
7984000	795.57	223	2587	34761.59	63.07339453125	2.2296363650408333	69.88269	54.57436	13.0907119140625	10.54033621380267	104.66742	2.0038667
8000000	790.69	218	1675	34828.53	63.2588828125	2.236194735377769	70.084595	55.8546	14.189357421875	12.407346614002527	97.01549	2.1606064
8016000	856.96	223	1542	34896.17	62.6230625	2.20162271475496	69.11065	55.64171	13.58279296875	11.91856875845418	91.20332	1.6677862
8032000	882.04	215	1885	34962.87	62.76294140625	2.1431937142673316	69.86769	55.351486	13.951712890625	11.6917305177634	123.30988	1.7651432
8048000	817.45	217	2332	35029.2	62.9873515625	2.2037414917589584	68.850296	55.913296	15.342943359375	12.393198109245247	113.70192	2.1199667
8064000	829.34	217	2912	35095.13	64.238296875	2.1474007725911344	71.07605	56.35415	15.6355361328125	12.842686391483676	94.46485	1.8884146
8080000	752.23	217	2993	35160.77	65.59728125	2.270385730924924	72.02916	58.848534	15.277015625	14.258358294347916	132.47887	2.176171
8096000	768.58	218	2251	35226.75	65.4012265625	2.214595031228904	71.857956	56.90873	15.248318359375	14.280946112740569	105.44415	2.2453942
8112000	783.12	217	2251	35295.56	64.774390625	2.2943653381027835	70.81997	56.834354	14.90855078125	13.115650836881867	109.04982	2.0287344
8128000	769.64	223	1893	35361.6	63.6886328125	2.2518527528043437	70.85682	56.874348	15.22795703125	13.180206513935962	101.30191	2.0363162
8144000	850.59	222	2572	35430.05	64.5475625	2.2786897019586716	72.24501	56.86659	15.456564453125	12.698570908767648	122.65103	2.3575072
8160000	847.65	218	2897	35498.82	64.64132421875	2.2255708317965865	72.862854	57.309265	16.4982890625	14.173152988132175	112.841896	2.1934876
8176000	875.75	226	3002	35564.98	64.25321875	2.3677491082975304	74.35077	56.54521	18.4407890625	15.18848659346941	98.17157	1.9996393
